text	label
Bewegende Szenen, die auch zum Nachdenken anregen, gibt es es jedoch genug, was auch den beiden gewohnt starken Hauptdarstellerinnen zu verdanken ist.	POSITIVE
Obwohl es länger her ist, dass ich die Ice Road das letzte Mal betrachtet habe, wurde ich nun schon wieder ebenso in ihren Bann gezogen, wie einst.	POSITIVE
Auch das Bonusmaterial ist spannend und informativ zusammengetragen worden, also jede Minute wert.	POSITIVE
Ansonsten möchte ich jedem, der auf Reality-Dokus steht, die Ice Road Truckers wärmstens empfehlen, in der Hoffnung, dass alle anderen ebenso gebannt wie ich, auf einen guten Ausgang der Ice Road Challenge hoffen und von dem Mut der Trucker, den schweren Lasten und den mächtigen Trucks beeindruckt sind.	POSITIVE
Ganz ehrlich, ich freue mich bereits auf die zweite Staffel und darauf, wie es mit Hugh, Alex, Jay und den anderen Jungs weitergeht!	POSITIVE
Sons of Norway ist eine eigenwillige Mischung aus absurder Komödie und bewegendem Drama.	POSITIVE
Diese Rechnung mag zwar nicht für alle aufgehen, Freunde von Außenseitergeschichten und leisen Zwischentönen werden den kleinen norwegischen Film aber schnell ins Herz schließen.	POSITIVE
Für Abwechslung im nett-seichten Liebeskomödienallerlei sorgen dafür der originelle Aufhänger und der Ausflug in die Ethno Comedy.	POSITIVE
The Tall Man ist ein ungewöhnlicher Mysterythriller mit unvorhersehbaren Wendungen und überraschend tragischen Elementen.	POSITIVE
An manchen Stellen wirkt das zwar etwas konstruiert, atmosphärisch und spannend ist der Film aber dennoch.	POSITIVE
Der Westen trifft den Osten: Cult kombiniert fernöstlichen Exorzismus mit Einflüssen von Paranormal Activity.	POSITIVE
Freunde gut choreografierter Kampfszenen vor historischer Kulisse finden aber mit dem vietnamesischen Beitrag einen Vertreter, der sich vor dem Gros der Konkurrenz nicht verstecken muss und neugierig macht, was wir in Zukunft aus dem bislang kleinen Filmland sonst noch erwarten dürfen.	POSITIVE
Wer Filme mag, bei denen man sich die Wahrheit selbst erfinden darf, oder muss, wird sicherlich Gefallen finden.	POSITIVE
Mir hat der Film gut gefallen und um eine zweite Sichtung wird kein Weg dran vorbeiführen, sei es nur um die Ungereimtheiten aufzudecken oder die wahren Hintergründe zu erleuchten.	POSITIVE
Die zwei Stunden vergingen wie im Fluge und sind überschüttet mit guten Stunts, Einfällen und jeder Menge Action.	POSITIVE
Kinderfilm mit schlechter Sync, erträglichen Darstellern und einem tierischen Hingucker in Form eines sibirischen Schäferhundes.	POSITIVE
Vor dem Kauf mal ein Auge auf den Trailer werfen und dabei auf sein Herz hören.	POSITIVE
Die Jagd ist ein erschütterndes wie packendes Drama über eine kleine Gemeinde, die nicht mehr zwischen begründeter Angst und hysterischer Selbstjustiz unterscheiden kann.	POSITIVE
Das geht zwar an manchen Stellen etwas zu schnell, bleibt dank der guten Darsteller und einer insgesamt neutralen Erzählweise aber erschreckend glaubhaft.	POSITIVE
Und Italien kann es doch noch: Die Regisseure Christian Bisceglia und Ascanio Malgarini inszenieren bei The Haunting of Helena eine im Grunde altbekannte Geistergeschichte, die aber durch diverse originelle Einfälle und eine dichte Atmosphäre gefällt.	POSITIVE
Wem The Artist gefallen hat, nichts gegen Nostalgie und Melancholie einzuwenden hat oder auch einfach mal wieder ein Beispiel sehen will, dass Zeichentrickfilme nicht nur für Kinder sein müssen, auf den wartet eine sprichwörtlich bezaubernde Zeitreise.	POSITIVE
Das liegt jedoch weniger an den namhaften Schauspielern als an der Geschichte, die fast ausschließlich auf peinliche Situationen setzt, um die Zuschauer zum Lachen zu bringen.	POSITIVE
Dieser Zweifel verflog allerdings sehr rasch, nachdem allein die schauspielerische Leistung Caines für ständige Aufmerksamkeit sorgte und er von mir aus überhaupt keine Waffe mehr hätte benutzen müssen, um sich Respekt bei mir zu verschaffen, denn auch so hat er mich, zumindest auf der Gefühlsebene, getroffen.	POSITIVE
Kurz gesagt, ich bin begeistert von der Glaubwürdigkeit Caines, von der brisanten Geschichte und der Bedrohlichkeit, die von diesem Film ausgeht.	POSITIVE
Geliehen oder gekauft, für mich auf jeden Fall ein Must see!	POSITIVE
Genrefreunde auf der Suche nach neuem Futter können aber unbesorgt einen Blick auf ihn werfen.	POSITIVE
Die psychologischen Komponenten sind zwar eher oberflächlich, aber eine interessante Erweiterung des gut inszenierten und spannenden Thrillers.	POSITIVE
Gantz - Spiel um dein Leben bringt innerhalb der ersten 60 Minuten jede Menge Vergnügen und ich kann mir nicht vorstellen, dass Fans des Mangas hieran etwas auszusetzen haben.	POSITIVE
Allein das erste Blutbad überzeugt von einer Radikalität, sowie Einfallsreichtum von Regisseur und Crew, Hut ab!	POSITIVE
Dank der schönen Landschaftsbilder und der gelungenen Ausstattung ist die Geschichte um Dschingis Khans Kampfeinheit aber zumindest in Ordnung.	POSITIVE
Auf Dauer vielleicht etwas anstrengend, zeichnet sich die TV-Serie in kleineren Dosen durch nostalgische Bilder, großen Einfallsreichtum und ein rasantes Tempo aus.	POSITIVE
Hanna Doose vereint in Staub auf unseren Herzen die nicht unbedingt sympathischen dafür umso authentischeren Mitglieder einer kaputten Familie.	POSITIVE
Das ist nicht zuletzt aufgrund der beiden guten Hauptdarstellerinnen sehenswert und glaubhaft geworden.	POSITIVE
Spannend ist auch, dass man mehrere Möglichkeiten für eine Analyse hat, entweder betrachtet man das Ganze realistisch, philosophisch, spirituell oder man steht ohnehin unter Drogen und sagt sich, voll normal! ' Da ich von den letzten drei Dingen nicht allzu viel halte, habe ich mich zu einer recht einfachen Erklärung hinreißen lassen, die ich als richtig verstehe, auch wenn ich mir weiterhin Gedanken über andere Ansätze mache.	POSITIVE
6 von 6 Sternen, gerne auch mehr.	POSITIVE
Ich amüsiere mich jedes einzelne Mal köstlicher über die Charaktere, Szenen und Kleinigkeiten die `Pulp Fiction ' zu etwas ganz Besonderem werden lassen.	POSITIVE
Dieser, und ich betone es nochmal, Kultfilm, dürfte eigentlich in keiner gut sortierten DVD-Sammlung fehlen.	POSITIVE
Absolute Spitzenklasse, gelobt sei Genie Tarantino!	POSITIVE
Die Geschichte um einen körperlich Behinderten und seinen respektlosen Betreuer mag recht vorhersagbar sein, punktet aber mit sympathischen Figuren, Charme und bissigem Humor.	POSITIVE
Und letztendlich auch mit einer so lebensbejahenden Grundeinstellung, dass sich nur Zyniker ihr entziehen können.	POSITIVE
Wer ihn dennoch schauen möchte, achte bitte auf die zweite humorvolle Szene, nachdem das allerletzte Foto geschossen wird.	POSITIVE
Brad Anderson holt aus einem sehr begrenzten Setting wirklich das Maximum heraus und sorgt so für einen erstaunlich unterhaltsamen und spannenden Thriller.	POSITIVE
Jason Statham hat sich in den letzten Jahren zu einem der beständigsten und verlässlichsten Actionhelden entwickelt, da reiht sich auch Safe - todsicher qualitativ nahtlos ein.	POSITIVE
Der ganz große Klassiker ist sein neuester Film eher nicht geworden, Fans ähnlich gelagerter Vertreter werden mit dem tempo - und leichenreichen Thriller aber sicher ihren Spaß haben.	POSITIVE
Die ersten zwei Drittel gefällt der britische Film mit einer guten und beklemmenden Atmosphäre.	POSITIVE
Ein modernes Märchen in allen Farben dieser Welt.	POSITIVE
Wer Lust hat zu Träumen und sich ein wenig von der Jedermannsgeschichte des Nemo Nobody verzaubern zu lassen, darf sich den Film nicht entgehen lassen.	POSITIVE
Auch wenn die übertriebene, sinnfreie Irreführung des Films einiges an Potential vernichtet, ist Heartless immer noch fesselnd und bietet einen faszinierenden Einblick in die gestörte, sowie verstörende Welt des Jamie Morgan und seiner Dämonen.	POSITIVE
Genau das richtige, für einen ohnehin schon grauen, verregneten Fernsehabend.	POSITIVE
Nie wird es langweilig bei DMSG, ständig passiert etwas und eine Atempause gibt es nicht.	POSITIVE
Ein Hoch auf die lebendigen Kurzgeschichten!	POSITIVE
Ich habe mich köstlich amüsiert, freue mich schon auf den nächsten Teil und bin ebenso glücklich darüber, dass mir noch die ersten drei bevorstehen.	POSITIVE
Also, unbedingt die DVD kaufen und die Jungs unterstützen.	POSITIVE
Wer soviel aus so wenig macht, hat es nicht anders verdient.	POSITIVE
Punktuell fesselnder Streifen, mit gutem Darsteller besetzt, der aber die hölzerne Story nicht wettmachen kann.	POSITIVE
Ein Film, der einmal vollkommen auf den typisch männlichen Vampir verzichtet, und wohl auch genau aus diesem Grund auf ganzer Länge überzeugen kann.	POSITIVE
Die wohlbekannten Klischees und hollywoodähnlichen Begebenheiten einmal weggelassen, bleiben immer noch gute Darbietungen, ein befriedigender Spannungsanteil und jede Menge für's Auge Ich freue mich eines besseren belehrt worden zu sein, denn nicht alles was in dieser Neuzeit mit Vampiren zu tun hat, gehört zum monotonen Alltagsbrei!	POSITIVE
Das gut gelungene 3D-Cover der BluRay überzeugt den Käufer noch im Geschäft und schüttelt seine letzten Zweifel ab.	POSITIVE
Bei einem so aufwendigen Cover, kann der Inhalt doch gar nicht so übel sein.	POSITIVE
Die tieftraurige Geschichte um zwei Kinder, die während des Zweiten Weltkrieges versuchen zu überleben, gehört nicht nur zu den großen Klassikern von Studio Ghibli, sondern des Animationsfilms überhaupt.	POSITIVE
Liebevoll gezeichnet und wunderbar animiert, entwickelt Die letzten Glühwürmchen eine emotionale Wucht, die heute noch genauso stark ist wie zu seinem Erscheinen vor 25 Jahren.	POSITIVE
Großartig allerdings etwas zu früh, denn wir alle hätten uns natürlich Django Unchained als Teil dieser Kollektion gewünscht.	POSITIVE
Immer wieder kann man sich Quentins Werke ansehen und ständig Neues entdecken und darum gibt es nur eine Möglichkeit...	POSITIVE
Die Bilder scheinen ungefiltert direkt ins Hirn gepresst zu werden und trotz des unguten Gefühls, dass man dem netten Lou Ford beim eisigen Morden zugesehen hat, findet man Gefallen an dem Gesamtkunstwerk, sowie den fortschreitenden, sich zuspitzenden Ereignissen, welche einem jegliches Gefühl von Sicherheit und Wohlbefinden zu rauben scheinen.	POSITIVE
Irgendwie... Faszinierend.	POSITIVE
Modus Anomali kombiniert ein stimmiges Setting mit interessanten Ideen.	POSITIVE
Für Genrefans insgesamt ein solider, teils ungewöhnlicher Beitrag.	POSITIVE
Basierend auf einem autobiografischen Roman zeigt Heute bin ich blond den Kampf einer Jugendlichen um einen Alltag trotz Krebserkrankung.	POSITIVE
Der ist überzeugend gespielt und hat zahlreiche starke Momente, insgesamt bleibt die gute Tragikomödie aber etwas zu harmlos.	POSITIVE
Guillermo del Toro erfüllt sich einen Kindheitstraum und lässt die Welt daran teilhaben.	POSITIVE
Das ist sympathisch, gerade als Gegenmittel zu den überernsten Entwürfen der Konkurrenz, bei der man oft genug den Eindruck hat, der Spaß am Filmen abhanden gekommen zu sein.	POSITIVE
Wenn man keinen großen Wert darauf legt, sich auf die Story konzentrieren zu müssen, oder bei einem Treffen mit seinen Freunden nur nebenher einen Film laufen lassen will kann ich diese DVD ruhigen Gewissens empfehlen.	POSITIVE
Denn ein paar Lacher sind auf Kosten der Geistlosen Dialoge und Handlungen garantiert.	POSITIVE
Die Suche nach der Antwort ist trotz bescheidener Ausstattung über weite Strecken spannend und stimmungsvoll.	POSITIVE
Nette Darsteller, coole Ideen, zu wenig Drive.	POSITIVE
Trotz all der Kritik bietet der Streifen gesittete Unterhaltung, obgleich man nicht vom Hocker gerissen wird.	POSITIVE
Chained ist ein kleiner, klaustrophobischer Thriller um einen Serienmörder, der in puncto Atmosphäre und Inszenierung vieles richtig macht und gute Schauspieler vorweisen kann.	POSITIVE
Insgesamt aber ein interessanter Genrevertreter.	POSITIVE
Große Erwartungen ist eine kompetente und werksgetreue Umsetzung des gleichnamigen Dickens-Romans.	POSITIVE
Ein bisschen mehr Mut oder Eigenständigkeit hätte man sich vielleicht schon gewünscht, unterhaltsam ist die Neufassung dank der guten Schauspieler aber auch so.	POSITIVE
Ein paar Schmunzler sind immerhin drin und die Musik ist auch nicht allzu übel.	POSITIVE
Für Familien mit Kindern ist Marmaduke eine weitere Möglichkeit, die Kleinen für etwa 99 Minuten ruhig zu stellen.	POSITIVE
Wenn aber seichte Unterhaltung und eine Allerweltsstory zu Entzücken führt, dann möchte ich unbedingt zum Kauf empfehlen.	POSITIVE
Flache Handlung, gepaart mit dümmlichen Menschen und einer sexistischen Hip-Hop-Optik: Wer bei Spring Breakers vorschnell zur Fernbedienung greift, verpasst eine erst auf den zweiten Blick erkennbare böse Satire auf eine auf reine Gesten fixierte Jugendkultur, die mit klasse Schauspielern und einer ungewöhnlichen Inszenierung lange im Gedächtnis bleibt.	POSITIVE
Pro ist in jedem Fall die sehr angenehme Erzählerstimme, die leider fast zu selten zum Einsatz kommt.	POSITIVE
Das Konzept ist nicht immer konsequent, dafür gefallen die originelle Grundidee, der Humor und die guten Schauspieler.	POSITIVE
Keine Frage, als Jackie Chan Fan muss man auch diesen Film gesehen haben.	POSITIVE
Nach einer Pleite, wie The Tuxedo wird bei Little Big Soldier noch mal ein gewisses Maß an älteren Chan-Filmen genommen, gepaart allerdings mit wesentlich mehr Humor.	POSITIVE
Sozusagen eine Mischung aus Die Schlange im Schatten des Adlers und Rush Hour oder ähnlich Kurz und bündig: Der Film hat mir gut gefallen, konnte mich bestens unterhalten und wird ein weiteres Mal im Player landen!	POSITIVE
Ein wirklich guter Streifen, mit überwiegend tollen Schauspielern.	POSITIVE
Spannend, bewegend, gnadenlos.	POSITIVE
5 von 6 Sternen, sollte man unbedingt gesehen haben!	POSITIVE
TOP!	POSITIVE
Aber das Warten hat sich gelohnt, ist Das Geheimnis von Kells doch ein Beispiel dafür, dass Europa nach wie vor wunderschöne Zeichentrickfilme auf die Beine stellt - wenn man es lässt.	POSITIVE
Die vielen neuen Terminatoren, bringen aber auch so gewaltig Schwung in die Sache, obwohl es fast schon zuviel des Guten ist und man lieber nur zwei neue Killermaschinen hätte einbringen sollen.	POSITIVE
Christian Bale hat mich mal wieder überzeugt, er ist einfach für diese Rollen geboren, der frustrierte Einzelkämpfer, scheinbar stets unzufrieden mit sich selbst und fernab von Lebensfreude.	POSITIVE
Für alle Actionfans gilt: Unbedingt ansehen.	POSITIVE
Für mich ist `Terminator - Die Erlösung ' schon jetzt eines der, wenn nicht sogar DAS Actionhighlight des Jahres.	POSITIVE
Toller Film!	POSITIVE
Da muss ich noch mal rein.	POSITIVE
No wirft einen unterhaltsamen Blick auf eine der ungewöhnlichsten Wahlkampfkampagnen der neueren Geschichte.	POSITIVE
Doch noch immer macht die französische Komödie Spaß, vor allem bei den absurden Versuchen der Eltern, den Sohn endlich loszuwerden.	POSITIVE
Wenig originelle Geschichte, hübsche Aufmachung - Myn Bala - Krieger der Steppe bietet mit seinem Ausflug ins Kasachstan des 17. und 18. Jahrhunderts ordentliche Unterhaltung.	POSITIVE
Fans epischer Historienfilme machen mit dem kasachischen Streifen aber nichts verkehrt.	POSITIVE
Dafür entschädigen aber der wunderbare typisch britische Humor und zwei starke Hauptdarsteller.	POSITIVE
Die noch immer aktuellen satirischen Elemente und ein wie üblich glänzender Alec Guinness in der Hauptrolle machen den Film aber auch für heutige Zuschauer sehenswert.	POSITIVE
Nette, französische Kriminalkomödie, welche sich nicht geniert fleißig bei bekannten Vorgängern abzukupfern.	POSITIVE
Am Ende siegt der Charme der beiden Helden.	POSITIVE
Wie gesagt, Terminator ist einfach ein Actionklassiker.	POSITIVE
Aber wie er schon verspricht, `he'll be back ' und zwar in dem gelungeneren, zweiten Teil der Reihe, `Terminator 2 - Tag der Abrechnung '.	POSITIVE
Dafür punktet der Martial-Arts-Film mit bewusst absurden Szenen, sehr viel Selbstironie und schönen Bildern.	POSITIVE
Hier kann man nichts falsch machen, weder beim Kauf, noch beim Ausleihen.	POSITIVE
Sehenswert, fesselnd und unerwartet kommen Story und Darsteller daher.	POSITIVE
Insgesamt also ein gelungenes Gesamtwerk, mit einigen, wenigen Ecken und Kanten.	POSITIVE
Beeindruckend, außergewöhnlich, interessant, bewegend.	POSITIVE
Besonders sehenswert!	POSITIVE
Wer also auf der Suche nach einem neuen, Kinoereignis ' ist, wird hier auf jeden Fall fündig.	POSITIVE
Ein wahnwitziger Plot und skurrile Charaktere - Grabbers richtet sich eindeutig an Zuschauer, die das Abwegige und absurden Humor zu schätzen wissen.	POSITIVE
Wer neuen Stoff für den nächsten nicht ganz so ernsten Videoabend mit Freunden sucht, kann mit dem Monsterspektakel also hochprozentigen Spaß haben.	POSITIVE
Wer auf gewaltbereite Mannsweiber abfährt und sehen möchte wie die perversen Kerle einmal so richtig auf die Glocke bekommen, der wird seinen Spaß bei Sisters ' Hood haben.	POSITIVE
Ein bisschen Humor, einige sehenswerte Kämpfe und viel Theatralik - Die Legende der weißen Schlange nimmt eine traditionelle chinesische Geschichte und bastelt daraus eine Fantasy-Martial-Arts-Romanze à la A Chinese Ghost Story.	POSITIVE
Wem den Klassiker oder dessen Neuauflage gefallen hat, findet hier einen ähnlich gelagerten, soliden Vertreter mit tollen Landschaftsaufnahmen, aber nur teilweise gelungenen Computereffekten.	POSITIVE
Ein Spaß für die ganze Familie, den man sich nicht nur einmal anschauen kann und sollte.	POSITIVE
Ich bin mir sicher, bei mehrmaligem Sichten, denn so ist es ja fast immer, fallen einem noch mehr kleine Spielereien und Zusätze der Entwickler auf, die den Film umso sehenswerter machen.	POSITIVE
Ein Must-Have für Filmfans, die ohnehin auf Animationsstreifen á la Wall-E stehen oder für Wikinger und solche die es gerne werden wollen.	POSITIVE
Stimmen nach dem Film:, Toll, der hat wirklich Spaß gemacht! ', Ja, der war lustig!... und rührend. '	POSITIVE
Y/N - Yes/No (You Lie, You Die) nimmt eine im Grunde banale Frage und lässt sie erschreckend real werden.	POSITIVE
Das funktioniert für eine Weile sogar richtig gut und der Film kann mit einer klaustrophobischen und spannenden Stimmung punkten.	POSITIVE
- seiner minimalen Mittel ein gewaltiger wie gewalttätiger Film über Schuld und Sühne geworden, ein unbequemer Blick auf die Verlierer einer Gesellschaft, in der Geld alles andere verdrängt.	POSITIVE
Dafür stimmt die Spannung, die übergeordnete Geschichte um einen zunehmend wahnsinnigen Profiler fesselt durch dessen Darsteller und eine stimmungsvolle Inszenierung.	POSITIVE
Absurd, unglaubwürdig, oft geschmacklos aber auch oft gnadenlos witzig - Serial Mom ist auch 19 Jahre später ein Mordsspaß.	POSITIVE
Fans freuen sich, dass der Kultfilm endlich wieder erhältlich ist, aber auch Liebhaber deftiger Satiren dürften der Geschichte um die mordende Bilderbuchmama etwas abgewinnen können.	POSITIVE
Ich bleibe dabei, wer sich nach Staffel 1 schon nicht mehr losreißen konnte und bei Staffel 2, trotz eventueller anfänglicher Skepsis, wieder gebannt vor dem Fernseher saß, muss sich die dritte Aufmachung schlicht ansehen.	POSITIVE
Wer noch keine der Episoden gesehen hat und sich direkt die brenzligste Staffel anschauen möchte, kommt hier ohne Vorkenntnisse prima zurecht.	POSITIVE
Wieder einmal absolut brisant, interessant und fesselnd.	POSITIVE
Der Film bietet also in 87 Minuten gute Unterhaltung und lässt dank der vielen interessanten Charaktere keine Langeweile aufkeimen.	POSITIVE
Ohne dies hätte der Film also nicht an Witz verloren.	POSITIVE
3 Sterne.	POSITIVE
Talentierte Hauptdarsteller, sowie ein paar sehr lustige Szenen.	POSITIVE
Durch die Fokussierung auf nur einen der Angeklagten fehlt zwar die Außenperspektive, dafür können wir - auch dank des sehr guten Hauptdarstellers - dessen persönliches Schicksal umso stärker miterleben.	POSITIVE
Eigenwillig ist Robot & Frank auch, zum Schluss vielleicht sogar etwas holprig, aber der Film verbindet sehr schön witzige Situationskomik mit nachdenklichen, einfühlsamen Momenten und kann letztendlich auch durch tolle Darsteller überzeugen.	POSITIVE
Durchaus sehenswert mit ein paar moralischen Ansätzen, die aber nicht allzu ernst zu nehmen sind.	POSITIVE
Darsteller und Story sind ganz passabel und das Ende vielleicht sogar eine positive Erinnerung wert.	POSITIVE
Kon-Tiki erzählt diese Überfahrt ohne viel Tiefgang nach, bietet aber Spannung und tolle Bilder.	POSITIVE
Da ihnen eine nicht minder gestörte Polizistin gegenübersteht, entwickelt sich Bastard zu einem überzeugend gespielten und packenden Psychoduell, das bis zum Ende seine Spannung erhält.	POSITIVE
Wer sich jedoch für Kampfkunst interessiert, findet hier neben einigen fast schon unwirklich schönen Kampfszenen viel Hintergrundwissen über wichtige Figuren des Kung Fu.	POSITIVE
Das ist manchmal schön authentisch, manchmal übertrieben melodramatisch, aber immer gut gespielt und schön fotografiert.	POSITIVE
Schräge Charaktere, eigenwillige Bilder und eine wunderliche erste Liebe - Andersons erster Realfilm seit fünf Jahren versucht erst gar nicht, zum Mainstream zu gehören.	POSITIVE
Aber wer sich auf diese besondere Welt einlässt, erlebt einen Film, der für mich zu den schönsten von 2012 gehörte.	POSITIVE
Hitoshi Matsumoto nimmt eine ungewöhnliche Ausgangssituation - ein trauriger Mann muss ein trauriges Kind zum Lachen bringt, sonst wird er hingerichtet - und zaubert daraus einen ungemein warmherzigen Film ohne Kitsch, dafür mit viel absurdem Humor und einem klasse Hauptdarsteller.	POSITIVE
Interessant ist die Grundidee hinter dem Episodenfilm - Menschen, die durch ihre Entscheidungen unwissentlich andere beeinflussen - auf jeden Fall und einige dieser Begegnungen sind wirklich schön geworden.	POSITIVE
Inhaltlich hat der Klassiker natürlich nur wenig zu bieten, Fans etwas altmodischer Actionkomödien werden hier aber ihren Spaß haben.	POSITIVE
Vorhersehbar, grob, übertrieben, aber eben auch sehr witzig: Bora Dagtekin und Elyas M'Barek führen bei ihrer Schulkomödie Fack ju Göhte routiniert das Erfolgsrezept von Türkisch für Anfänger fort.	POSITIVE
Ein Takeshi Kitano Film, der vermutlich wie immer, seine ganz eigene Fangruppe um sich versammeln wird.	POSITIVE
Mit einem hohen, aber erträglichen Maß an Brutalität und vielen üblen Gesellen.	POSITIVE
Oder einfach nur eine düstere Geschichte die von genial verrückten Machern in gruseliger Form auf die Leinwand gebannt wurde?	POSITIVE
Dankend muss ich hinzufügen, dass es sich hier nicht um einen klassischen Splatter Film handelt, sondern sich hinter, The Woman ' noch etwas anderes verbirgt, etwas Subtileres und Unterhaltsameres als in anderen überflüssigen Splattermovies a la Die Meute oder Scream 2-4.	POSITIVE
... der mir gefallen hat.	POSITIVE
Regisseur David Sieveking entscheidet diese Frage mit einem eindeutigen Ja und vermischt seinen Beitrag über eine erschreckende Krankheit mit einer faszinierenden Reise in die Vergangenheit.	POSITIVE
Für manche mag dieser Einblick zu intim sein, fesselnd und liebevoll gemacht ist Vergiss mein nicht aber auf jeden Fall.	POSITIVE
Excision ist eine eigenwillige und verstörende Mischung aus blutrünstigem Horror und bizarrer Satire, die gleichermaßen abstoßend und faszinierend ist.	POSITIVE
Sicher nicht für jeden geeignet, ist der Indiefilm vor allem für experimentierfreudige und abgehärtete Zuschauer ein echter Geheimtipp.	POSITIVE
Mit seinem Spielfilmdebüt Arbitrage schafft Nicholas Jarecki eine gelungene Mischung aus Thriller und Psychogramm, bei der nie so ganz klar ist, wer der Held, wer der Bösewicht ist.	POSITIVE
Das ist trotz einer nicht immer glaubwürdigen Handlung spannend und gut gespielt - vor allem von einem hervorragenden Richard Gere.	POSITIVE
Sympathischer Cop mit Schwächen muss einen Vergewaltiger fassen und dafür in einen Sumpf aus Gewalt und Korruption eintauchen - das hört sich nicht originell an, hat aber genügend clevere Twists um zu gefallen.	POSITIVE
Stone Cold macht einfach nur Spaß und bringt mir bei jedem Sichten gute Laune.	POSITIVE
Für mich ein Klassiker des Biker-Film-Genre, welches ohnehin nur seinesgleichen sucht.	POSITIVE
Zwei Polizisten, die auf ihrer Suche nach einem Mörder selbst zu Verbrechern werden und dann an ihrer Schuld zerbrechen: Die Mischung aus Drama und Thriller ist als Kriminalfall zwar wenig spannend, dank guter Darsteller aber eine sehenswerte Charakterstudie.	POSITIVE
Dank der schönen Bilder und sympathischen Schauspieler insgesamt aber eine gefällige Neuauflage.	POSITIVE
Gnade nimmt ein schweres Thema - der Unfalltod eines kleinen Mädchens - und packt das in bildgewaltige Aufnahmen.	POSITIVE
